"","Dataset","Bayesien Naif","KNN","LDA","QDA","Linear SVM","Polynomial SVM","Gaussian SVM","Logistic Regression","CART","Random Forest"
"1","flame",0.994307400379507,1,0.952561669829222,0.996204933586338,0.954459203036053,0.967741935483871,1,0.954459203036053,0.921252371916509,0.994307400379507
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","visapremier",0.814872547221714,0.83784155510728,0.916743077205208,NA,0.931138822666422,0.813772235466715,0.917201540436457,0.925820649183935,0.834769851457913,0.942783788740143
"5","creditcard",0.974974838262132,NA,0.982566870890726,0.980832249218034,NA,NA,NA,0.97665210435655,0.924875180197602,0.967589922998488
