"","Dataset","Bayesien Naif","KNN","LDA","QDA","Linear SVM","Polynomial SVM","Gaussian SVM","Logistic Regression","CART","Random Forest"
"1","flame",0.958333333333333,1,0.875,0.958333333333333,0.875,0.9375,0.979166666666667,0.875,0.895833333333333,0.895833333333333
"2","spiral",0.317460317460317,1,0.317460317460317,0.333333333333333,0.380952380952381,0.507936507936508,1,0.317460317460317,0.857142857142857,0.857142857142857
"3","aggregation",0.993670886075949,1,0.993670886075949,1,1,1,1,1,1,1
"4","visapremier",0.716279069767442,0.786046511627907,0.790697674418605,NA,0.827906976744186,0.73953488372093,0.832558139534884,0.823255813953488,0.832558139534884,0.832558139534884
"5","creditcard",0.978494434886416,NA,0.999596222042765,0.975948878199501,NA,NA,NA,0.999262666338963,0.999543555352691,0.999543555352691
